head_n,glyph,espanol,zan_k,zan_name,zanci,ceci,fuente,cotejo_fuente,cotejo_nota
1,中,Centro,1,初一,昆侖旁薄幽,昆侖旁薄思諸貞也○,kanripo,,
1,中,Centro,2,次二,神戰于玄其陳隂陽,神戰于玄善惡并也,kanripo,,
1,中,Centro,3,次三,龍出于中首尾信可以爲庸,龍出于中見其造也,kanripo,,
1,中,Centro,4,次四,庫虚無因大受性命否,庫虚無否不能大受也○,kanripo,,□→庫(Sima)
1,中,Centro,5,次五,日正于天利以其辰作主,日正于天貴當位也,kanripo,,
1,中,Centro,6,次六,月闕其博不如開明于西,月闕其博明始退也,kanripo,,
1,中,Centro,7,次七,酋酋大魁頥水包貞,酋酋之包任臣則也,kanripo,,
1,中,Centro,8,次八,黃不黃覆秋,還心之否中不恕也○,kanripo,kanripo_四部叢刊_cotejo,"測 recuperado (anclado en 贊辭, cortado en marcador; termina en 也)"
1,中,Centro,9,上九,顛靈氣形反,顛靈之反時不克也,wikisource_provisional,,
2,周,Círculo Completo,1,初一,還於天心何德之僭否,還心之否中不恕也,kanripo,,
2,周,Círculo Completo,2,次二,植中樞周無隅,植中樞立督慮也,kanripo,,
2,周,Círculo Completo,3,次三,出我入我吉凶之魁,出我入我不可不懼也,kanripo,,
2,周,Círculo Completo,4,次四,帶其鈎鞶錘以玉鐶,帶其鈎鞶自約束也,kanripo,,
2,周,Círculo Completo,5,次五,土中其廬設于金輿厥戒渝,廬金戒渝小人不克也,kanripo,,
2,周,Círculo Completo,6,次六,信周其誠上通于天,信周其誠上通也,kanripo,,
2,周,Círculo Completo,7,次七,豐淫見其朋還于蒙不克從,豐淫見朋不能從也,kanripo,,
2,周,Círculo Completo,8,次八,還遇躬外其禍不大,還遇躬外禍不中也,kanripo,,
2,周,Círculo Completo,9,上九,還于喪或弃之行根,黃不純失中適也,kanripo,,
3,礥,Atascado,1,初一,黃純於潛不見其畛藏郁於泉,黃純於潛化在嘖也,wikisource_provisional,,
3,礥,Atascado,2,次二,黃不純屈於根,黃不純失中適也,wikisource_provisional,,
3,礥,Atascado,3,次三,赤子扶扶元貞有終,赤子扶扶父母瞻也,kanripo,,
3,礥,Atascado,4,次四,拔我不德以力不克,拔我德力不堪也,kanripo,,
3,礥,Atascado,5,次五,拔車山淵冝於大人,拔車山淵大位力也,kanripo,,
3,礥,Atascado,6,次六,將其車入于丘虚,將車入虚道不得也,kanripo,,
3,礥,Atascado,7,次七,出險登丘或牽之牛,出險登丘莫之伐也,kanripo,,
3,礥,Atascado,8,次八,車不拔髀軸折,蛇伏于泥君不君也○,kanripo,kanripo_四部叢刊_cotejo,"測 recuperado (anclado en 贊辭, cortado en marcador; termina en 也)"
3,礥,Atascado,9,上九,崇崇高山下有川波其人有輯航可與過其,高山大川不輯航不克也,wikisource_provisional,,
4,閑,Barrera,1,初一,蛇伏於泥無雄有雌終莫受施,蛇伏于泥君不君也,kanripo,,
4,閑,Barrera,2,次二,閑其藏固珍寳,閑其藏中心淵也,kanripo,,
4,閑,Barrera,3,次三,關無鍵舎金管,關無鍵盜入門也,kanripo,,
4,閑,Barrera,4,次四,拔我輗軏小得利小征,拔我輗軏貴以信也,kanripo,,
4,閑,Barrera,5,次五,礥而閑而拔我姦而非石如石厲,礥閑如石其敵堅也,kanripo,,
4,閑,Barrera,6,次六,閑黃垁席金策,閑黃垁以德固也,kanripo,,
4,閑,Barrera,7,次七,跙跙閑于蘧除或寢之廬,跙跙之閑惡在舎也,kanripo,,
4,閑,Barrera,8,次八,赤臭播關大君不閑克國乗家,赤臭播關恐入室也,kanripo,,
4,閑,Barrera,9,上九,閑門以終虚,自少不至謙不成也,kanripo,,
5,少,Guardar lo Pequeño,1,初一,冥自少眇于謙,冥自少不見謙也,wikisource_provisional,,
5,少,Guardar lo Pequeño,2,次二,自少不至懷其恤,自少不至謙不誠也,wikisource_provisional,,
5,少,Guardar lo Pequeño,3,次三,動韯其得人主之式,韯其得人謙貞也,kanripo,,
5,少,Guardar lo Pequeño,4,次四,貧貧或妄之振,貧貧妄振不能守正也,kanripo,,
5,少,Guardar lo Pequeño,5,次五,地自沖下于川,地自沖人之所聖也,kanripo,,
5,少,Guardar lo Pequeño,6,次六,少持滿今盛後傾,少持滿何足盛也,kanripo,,
5,少,Guardar lo Pequeño,7,次七,貧自究利用見冨,貧自究冨之聘也,kanripo,,
5,少,Guardar lo Pequeño,8,次八,貧不貧人莫之振,貧不貧何足敬也,kanripo,,
5,少,Guardar lo Pequeño,9,上九,密雨溟沐潤于枯瀆三日射谷,正其腹中心定也,kanripo,,
6,戾,Contrariedad,1,初一,虛既邪心有傾,虛邪心傾懷不正也,wikisource_provisional,,
6,戾,Contrariedad,2,次二,正其腹引其背酋貞,正其腹中心定也,wikisource_provisional,,
6,戾,Contrariedad,3,次三,戾其腹正其背,戾腹正背中外爭也,kanripo,,
6,戾,Contrariedad,4,次四,夫妻反道維家之保,夫妻反道各有守也,kanripo,,
6,戾,Contrariedad,5,次五,東南射兕西北其矢,東南射兕不得其首也,kanripo,,
6,戾,Contrariedad,6,次六,準繩規矩不同其施,準繩規矩乖其道也,kanripo,,
6,戾,Contrariedad,7,次七,女不女其心予覆夫諿,女不女大可醜也,kanripo,,
6,戾,Contrariedad,8,次八,殺生相矢中和其道,殺生相矢中爲界也上,kanripo,,
6,戾,Contrariedad,9,上九,倉靈之雌不同宿而離失則歲之功乖,倉靈之雌失作敗也,wikisource_provisional,,
7,上,Ascenso,1,初一,上其純心挫厥鏩鏩,上純其心和以悅也,wikisource_provisional,,
7,上,Ascenso,2,次二,上無根思登于天谷在于淵,上無根不能自治也,kanripo,,
7,上,Ascenso,3,次三,出于幽谷登于茂木思其珍榖,出谷登木知向方也,kanripo,,
7,上,Ascenso,4,次四,即上不貞無根繁榮孚虚名,即上不貞妄升也,kanripo,,
7,上,Ascenso,5,次五,鳴鶴升自深澤階天不㤰,鳴鶴不㤰有諸中也,kanripo,,
7,上,Ascenso,6,次六,升于堂顚衣到裳廷人不慶,升堂顚到失大衆也,kanripo,,
7,上,Ascenso,7,次七,升于顚臺或柱之材,升,kanripo,,
7,上,Ascenso,8,次八,升于高危或斧之梯,升危斧梯失士民也,wikisource_provisional,,
7,上,Ascenso,9,上九,棲于菑初亡後得基,棲菑得基後得人也,wikisource_provisional,,
8,干,Oposición,1,初一,丸鑚鑚干内隟厲,丸鑚于内轉丸非也,kanripo,,
8,干,Oposición,2,次二,以微干正維用軌命,以微干正大諫微也,kanripo,,
8,干,Oposición,3,次三,鍵挈挈匪貞,鍵挈挈干禄回也,kanripo,,
8,干,Oposición,4,次四,干言入骨時貞,干骨之時直其道也,kanripo,,
8,干,Oposición,5,次五,蚩蚩干于丘飴或錫之坏,蚩蚩之干錫不好也,kanripo,,
8,干,Oposición,6,次六,幹干於天貞馴,幹干之貞順可保也,kanripo,,
8,干,Oposición,7,次七,何㦸解解遘,何㦸解解不容道也,kanripo,,
8,干,Oposición,8,次八,赤舌燒城吐水于缾,赤舌吐水君子以解祟也,kanripo,,
8,干,Oposición,9,上九,干于浮雲從墜于天,干于浮雲乃從天墜也狧狧多欲往也,kanripo,,
9,羨,Ramificación,1,初一,羨于初其次迂塗,羨于初後難正也,wikisource_provisional,,
9,羨,Ramificación,2,次二,羨於微克復可以爲儀,羨微克復不遠定也,wikisource_provisional,,
9,羨,Ramificación,3,次三,卉炎于陵冝于丘陵○,卉炎丘陵短臨長也,kanripo,,
9,羨,Ramificación,4,次四,𤕠于酒食肥無譽,𤕠于酒食仕無方也,kanripo,ctext_太玄經,"cabeza 9 = 𤕠 (Jí Xián); □ era este carácter raro, verificado en ctext"
9,羨,Ramificación,5,次五,𤕠有足託堅榖,𤕠有足位正當也,kanripo,ctext_太玄經,"cabeza 9 = 𤕠 (Jí Xián); □ era este carácter raro, verificado en ctext"
9,羨,Ramificación,6,次六,獨𤕠逝逝利小不利大,獨𤕠逝逝不可大也,kanripo,ctext_太玄經,"cabeza 9 = 𤕠 (Jí Xián); □ era este carácter raro, verificado en ctext"
9,羨,Ramificación,7,次七,白日臨辰可以卒其所聞,白日臨辰老得勢也,kanripo,,
9,羨,Ramificación,8,次八,蚤虱之𤕠厲,蚤虱之𤕠不足頼也,kanripo,ctext_太玄經,"cabeza 9 = 𤕠 (Jí Xián); □ era este carácter raro, verificado en ctext"
9,羨,Ramificación,9,上九,全微絭其首尾臨于淵○,羡微克復不逺定也,kanripo,,
10,羡,Defecto / Distorsión,1,初一,羡於初其次迂塗,羡于初後難正也,ctext_verificado,,
10,羡,Defecto / Distorsión,2,次二,羡于微克復可以為儀,羡微克復不遠定也,ctext_verificado,,
10,羡,Defecto / Distorsión,3,次三,羡迂塗不能直如,羡迂塗不能直行也,kanripo,,
10,羡,Defecto / Distorsión,4,次四,羡權正吉人不幸,羡權正善反常也,kanripo,,
10,羡,Defecto / Distorsión,5,次五,孔道夷如蹊路微如大輿之憂,孔道之夷奚不遵也,kanripo,,
10,羡,Defecto / Distorsión,6,次六,大虚旣邪或直之或翼之得矢夫,虚邪矢夫得賢臣也,kanripo,,
10,羡,Defecto / Distorsión,7,次七,曲其故迂其塗厲之馴,曲其故爲作意也,kanripo,,
10,羡,Defecto / Distorsión,8,次八,羡其足濟于溝瀆面貞,羡其足避凶事也,kanripo,,
10,羡,Defecto / Distorsión,9,上九,車軸折其,微失自攻人未知也,kanripo,,
11,差,Divergencia,1,初一,微失自攻端,微失自攻人未知也,ctext_verificado,,
11,差,Divergencia,2,次二,𥧲其所好將以致其所惡,𥧲其所好漸以差也,kanripo,ctext_太玄經,"□ = 𥧲 (carácter raro), verificado en ctext"
11,差,Divergencia,3,次三,其亡其亡將至于暉光,其亡其亡震自衞也,kanripo,,
11,差,Divergencia,4,次四,過小善不克,過小善不能至大也,kanripo,,
11,差,Divergencia,5,次五,過門折入得此中行,過門折入近復還也,kanripo,,
11,差,Divergencia,6,次六,大跌過其門不入其室,大跌不入誠可患也,kanripo,,
11,差,Divergencia,7,次七,累卵業業懼貞安,累卵業業自危作安也○,kanripo,wikisource_太玄經,測 recuperado de Wikisource (laguna en 四部叢刊 y en Sima Guang)
11,差,Divergencia,8,次八,足纍纍其步蹉躟輔銘滅麋,足纍纍履禍不還也,ctext_verificado,,
11,差,Divergencia,9,上九,過其枯城或蘖青青,過其枯城改過更生也,ctext_verificado,,
12,童,Juventud,1,初一,顓童不寤㑹我蒙昬,童不寤恐終晦也,kanripo,,
12,童,Juventud,2,次二,錯于靈蓍焯于龜資出泥入脂,錯蓍焯龜比光道也,kanripo,,
12,童,Juventud,3,次三,東辰以明不能以行,東辰以明奚不逝也,kanripo,,
12,童,Juventud,4,次四,或後前夫先錫之光,或後前夫先光大也,kanripo,,
12,童,Juventud,5,次五,蒙柴求兕其德不美,蒙柴求兕得不慶也,kanripo,,
12,童,Juventud,6,次六,大開帷幕以引方客,大開帷幕覽衆明也,kanripo,,
12,童,Juventud,7,次七,脩侏侏比于朱儒,侏侏之脩無可爲也,kanripo,,
12,童,Juventud,8,次八,或擊之或刺之修其玄鑒渝,擊之刺之過以衰也,kanripo,,
12,童,Juventud,9,上九,童麋觸犀灰其首飾外也,木止漸増不可益也○,kanripo,kanripo_四部叢刊_cotejo,"測 recuperado (anclado en 贊辭, cortado en marcador; termina en 也)"
13,増,Aumento,1,初一,聞貞增默外人不得,聞貞增默識內也,wikisource_provisional,,
13,増,Aumento,2,次二,不增其方而增其光冥,不增其方徒飾外也,wikisource_provisional,,
13,増,Aumento,3,次三,木以止漸増,木止漸増不可益也,kanripo,,
13,増,Aumento,4,次四,要不克或増之戴,要不克可敗也,kanripo,,
13,増,Aumento,5,次五,澤庳其容衆潤攸同,澤庳其容謙虚大也,kanripo,ctext_太玄經,□ = 庳 (verificado en ctext)
13,増,Aumento,6,次六,朱車燭分一日増我三千君子慶小人傷,朱車之増小人不當也,kanripo,,
13,増,Aumento,7,次七,増其髙刄其削丘貞,増髙刄峭與損皆行也,kanripo,,
13,増,Aumento,8,次八,兼貝以役往益來,兼貝以役前慶後亡也,kanripo,,
13,増,Aumento,9,上九,崔嵬不崩頼彼峽崥,崔嵬不崩群士橿橿也太玄經卷第一,kanripo,,
14,銳,Penetración,1,初一,蟹之郭索後引黃泉,蟹之郭索心不一也,wikisource_provisional,,
14,銳,Penetración,2,次二,銳一無不達,銳一之逹執道必也,kanripo,,
14,銳,Penetración,3,次三,狂銳盪,狂銳之盪不能處一也,kanripo,,
14,銳,Penetración,4,次四,銳于時無不利,銳于時得其適也,kanripo,,
14,銳,Penetración,5,次五,銳其東忘其西見其背不見其心,銳東忘西不能迴避也,kanripo,,
14,銳,Penetración,6,次六,銳于醜含于五軌萬鍾貞,銳于醜福禄不量也,kanripo,,
14,銳,Penetración,7,次七,銳于利忝惡至,銳于利辱在一方也,kanripo,,
14,銳,Penetración,8,次八,銳其銳救其敗,銳其銳恐轉作殃也,kanripo,,
14,銳,Penetración,9,上九,陵崢岸,迷腹達目以道不明也,kanripo,,
15,達,Alcance,1,初一,中冥獨達迥迥不屈,中冥獨達內曉無方也,wikisource_provisional,,
15,達,Alcance,2,次二,迷腹達目,迷腹達目以道不明也,wikisource_provisional,,
15,達,Alcance,3,次三,蒼木維流厥美可以達于瓜苞,蒼木維流内恕以量也,kanripo,,
15,達,Alcance,4,次四,小利小達大迷扁扁不故,小達大迷獨曉隅方也,kanripo,,
15,達,Alcance,5,次五,達于中衢大小無迷,達于中衢道四通也,kanripo,,
15,達,Alcance,6,次六,大達無畛不要止洫作否,大達無畛不可偏從也,kanripo,,
